	page #	brand	url	product	price
104	2	 adidas 	https://eshop.cataloghk.com/108fv1793.html	WOMEN ADIDAS ORIGINALS NMD_R1	HK$1,299.00
105	2	 adidas 	https://eshop.cataloghk.com/108fx7565.html	WOMEN ADIDAS ORIGINALS SUPERSTAR	HK$799.00
106	2	 adidas 	https://eshop.cataloghk.com/108fv3657.html	LITTLE KIDS ADIDAS ORIGINALS SUPERSTAR CF	HK$429.00
107	2	 New Balance 	https://eshop.cataloghk.com/112wl574oaa.html	WOMEN NEW BALANCE 574 PASTEL	HK$499.00
108	2	 New Balance 	https://eshop.cataloghk.com/112yv574spu.html	BIG KIDS NEW BALANCE 574	HK$469.00
109	2	 New Balance 	https://eshop.cataloghk.com/112wl574oad.html	WOMEN NEW BALANCE 574 PASTEL	HK$419.00
110	2	 New Balance 	https://eshop.cataloghk.com/112m990na5.html	"MEN NEW BALANCE MADE ""NIMBUS CLOUD"" 990V5"	HK$1,899.00
111	2	 New Balance 	https://eshop.cataloghk.com/112gw500mf1.html	WOMEN NEW BALANCE 500	HK$499.00
112	2	 New Balance 	https://eshop.cataloghk.com/112w990na5.html	"WOMEN NEW BALANCE MADE ""NIMBUS CLOUD"" 990V5"	HK$1,899.00
113	2	 New Balance 	https://eshop.cataloghk.com/112w480sk5.html	UNISEX NEW BALANCE 480 KOREA	HK$599.00
114	2	 New Balance 	https://eshop.cataloghk.com/112mt410sm5.html	UNISEX NEW BALANCE 410 V5	HK$599.00
115	2	 New Balance 	https://eshop.cataloghk.com/112iv574dmr.html	LITTLE KIDS NEW BALANCE 574	HK$339.00
116	2	 New Balance 	https://eshop.cataloghk.com/112yv574dmr.html	BIG KIDS NEW BALANCE 574	HK$469.00
117	2	 VANS 	https://eshop.cataloghk.com/105vn0a4bv617e.html	UNISEX VANS THE SIMPSONS SK8-HI	HK$599.00
118	2	 VANS 	https://eshop.cataloghk.com/105vn0a3wmd1tj.html	UNISEX VANS THE SIMPSONS COMFYCUSH SLIP-ON	HK$690.00
119	2	 VANS 	https://eshop.cataloghk.com/105vn0a3mvl0dr.html	UNISEX VANS STYLE 36 DECON SF	HK$590.00
120	3	 VANS 	https://eshop.cataloghk.com/105vn000xg5y28.html	LITTLE KIDS VANS TODDLER SK8-HI ZIP	HK$350.00
121	3	 Teva 	https://eshop.cataloghk.com/1661019538tpink.html	LITTLE KIDS TEVA PSYCLONE XLT	HK$219.00
122	3	 Converse 	https://eshop.cataloghk.com/150168618c.html	UNISEX CONVERSE CHUCK 70 RENEW OX	HK$459.00
123	3	 Converse 	https://eshop.cataloghk.com/150168594c.html	UNISEX CONVERSE CHUCK TAYLOR ALL STAR RENEW HI	HK$279.00
124	3	 Converse 	https://eshop.cataloghk.com/150168595c.html	UNISEX CONVERSE CHUCK TAYLOR ALL STAR RENEW HI	HK$279.00
125	3	 adidas 	https://eshop.cataloghk.com/108fw1990.html	LITTLE KIDS ADIDAS ORIGINALS SUPERSTAR 360	HK$319.00
126	3	 adidas 	https://eshop.cataloghk.com/108ef4838.html	BIG KIDS ADIDAS ORIGINALS SUPERSTAR CF	HK$499.00
127	3	 adidas 	https://eshop.cataloghk.com/108fw7376.html	WOMEN ADIDAS ORIGINALS COURTPOINT X	HK$499.00
128	3	 adidas 	https://eshop.cataloghk.com/108fv9499.html	WOMEN ADIDAS ORIGINALS ZX ARCHER	HK$799.00
129	3	 adidas 	https://eshop.cataloghk.com/108fw0090.html	WOMEN ADIDAS ORIGINALS ZX ARCHER	HK$799.00
130	3	 adidas 	https://eshop.cataloghk.com/108fy0605.html	WOMEN ADIDAS ORIGINALS ZX 2K BOOST	HK$1,199.00
131	3	 adidas 	https://eshop.cataloghk.com/108fw3246.html	MEN ADIDAS ORIGINALS LITE RACER RBN 2.0	HK$569.00
132	3	 adidas 	https://eshop.cataloghk.com/108fw9586.html	MEN ADIDAS ORIGINALS LITE RACER RBN 2.0	HK$569.00
133	3	 adidas 	https://eshop.cataloghk.com/108fv9996.html	UNISEX ADIDAS ORIGINALS ZX 2K BOOST	HK$1,199.00
134	3	 adidas 	https://eshop.cataloghk.com/108fw0970.html	WOMEN ADIDAS ORIGINALS ADVANTAGE	HK$569.00
135	3	 Reebok 	https://eshop.cataloghk.com/101dv8961.html	UNISEX REEBOK CLUB C 85 ATI	HK$279.00
136	3	 adidas 	https://eshop.cataloghk.com/108g28116.html	BIG KIDS ADIDAS ORIGINALS U_PATH RUN C	HK$569.00
137	3	 adidas 	https://eshop.cataloghk.com/108m20605.html	BIG KIDS ADIDAS ORIGINALS STAN SMITH	HK$489.00
138	3	 adidas 	https://eshop.cataloghk.com/108fy9021.html	UNISEX ADIDAS ORIGINALS STAN SMITH PRIDE	HK$899.00
